Andhra Pradesh,2259.83,2424.91,2589.99,2755.06,2920.14,3085.22,
Arunachal Pradesh,0,0,0,0,0,0,
Assam,15.83,6.06,-3.71,-13.47,-23.24,-33.01,
Bihar,2758.27,2820.24,2882.2,2944.17,3006.13,3068.1,
Chattisgarh,32.8,33.29,33.77,34.25,34.73,35.22,
Goa,0,0,0,0,0,0,
Gujarat,28.77,31.85,34.93,38.01,41.09,44.17,
Haryana,18.89,20.04,21.19,22.34,23.5,24.65,
Himachal Pradesh,-2.35,-3.84,-5.33,-6.82,-8.31,-9.8,
JammuKashmir,1,0.85,0.69,0.54,0.38,0.23,
Jharkhand,1210.53,1266.51,1322.49,1378.47,1434.45,1490.43,
Karnataka,2596.11,2790.76,2985.42,3180.08,3374.74,3569.39,
Kerala,5.52,5.7,5.88,6.06,6.24,6.42,
Madhya Pradesh,316.79,339.47,362.16,384.84,407.53,430.21,
Maharashtra,178.61,188.57,198.54,208.5,218.47,228.43,
Manipur,0,0,0,0,0,0,
Meghalaya,0,0,0,0,0,0,
Mizoram,0,0,0,0,0,0,
Nagaland,0,0,0,0,0,0,
Odisha,2790.41,2990.74,3191.07,3391.41,3591.74,3792.07,
Punjab,8.27,8.66,9.05,9.44,9.83,10.21,
Rajasthan,16.77,18.01,19.24,20.48,21.71,22.94,
Sikkim,0,0,0,0,0,0,
Tamil Nadu,649.06,682.48,715.9,749.32,782.74,816.16,
Tripura,0.64,0.7,0.76,0.81,0.87,0.93,
Uttar Pradesh,1163.95,1167.64,1171.33,1175.01,1178.7,1182.38,
Uttarakhand,0.61,0.22,-0.16,-0.54,-0.92,-1.3,
West Bengal,288.36,315.69,343.01,370.34,397.66,424.99,
Delhi,7.32,6.21,5.11,4,2.9,1.79,
